Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,sezoni,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,GA90,SoTA,Saves,Save%,CS,CS%,PKA,PKsv,PKm,Age,Poss,Ast,PKatt,CrdY,CrdR
Granada,38,7,14,17,29,64,-35,35,0.92,2014-2015,,,,,,,,,,,,,,,,,26.6,47.4,17.0,6.0,115.0,0.0
Eibar,38,9,8,21,34,55,-21,35,0.92,2014-2015,,,,,,,,,,,,,,,,,27.6,43.8,25.0,2.0,110.0,0.0
Almeria,38,8,8,22,35,64,-29,29,0.76,2014-2015,,,,,,,,,,,,,,,,,26.1,46.4,22.0,6.0,124.0,0.0
Cordoba,38,3,11,24,22,68,-46,20,0.53,2014-2015,,,,,,,,,,,,,,,,,25.7,45.9,12.0,3.0,106.0,0.0
Barcelona,38,29,4,5,112,29,83,91,2.39,2015-2016,605.0,266.0,44.0,15.92,7.0,0.16,0.37,0.76,128.0,100.0,78.1,18.0,47.4,1.0,0.0,0.0,28.0,67.1,74.0,19.0,67.0,1.0
Real Madrid,38,28,6,4,110,34,76,90,2.37,2015-2016,712.0,289.0,40.6,18.74,7.61,0.14,0.35,0.89,137.0,106.0,75.9,14.0,36.8,1.0,3.0,0.0,26.5,57.3,86.0,9.0,75.0,5.0
Atletico Madrid,38,28,4,6,63,18,45,88,2.32,2015-2016,478.0,166.0,34.7,12.58,4.37,0.13,0.37,0.47,99.0,82.0,82.8,24.0,63.2,1.0,0.0,0.0,25.9,48.5,47.0,2.0,94.0,3.0
Villarreal,38,18,10,10,44,35,9,64,1.68,2015-2016,340.0,133.0,39.1,8.95,3.5,0.11,0.29,0.92,131.0,99.0,74.8,17.0,44.7,2.0,1.0,0.0,25.3,45.9,32.0,3.0,103.0,4.0
Athletic Club,38,18,8,12,58,45,13,62,1.63,2015-2016,456.0,163.0,35.7,12.0,4.29,0.12,0.33,1.19,131.0,93.0,70.2,13.0,34.2,6.0,1.0,0.0,27.7,49.9,42.0,5.0,86.0,6.0
Celta Vigo,38,17,9,12,51,59,-8,60,1.58,2015-2016,443.0,155.0,35.0,11.66,4.08,0.1,0.3,1.55,155.0,100.0,63.9,10.0,26.3,3.0,1.0,1.0,26.1,56.4,41.0,5.0,115.0,8.0
Sevilla,38,14,10,14,51,50,1,52,1.37,2015-2016,460.0,182.0,39.6,12.11,4.79,0.1,0.24,1.32,174.0,126.0,72.4,11.0,28.9,2.0,0.0,1.0,26.9,50.0,35.0,7.0,106.0,8.0
Malaga,38,12,12,14,38,35,3,48,1.26,2015-2016,452.0,167.0,36.9,11.89,4.39,0.08,0.21,0.92,138.0,105.0,75.4,12.0,31.6,1.0,1.0,0.0,28.0,48.8,27.0,4.0,110.0,5.0
Real Sociedad,38,13,9,16,45,48,-3,48,1.26,2015-2016,455.0,157.0,34.5,11.97,4.13,0.09,0.27,1.26,151.0,109.0,71.5,13.0,34.2,5.0,1.0,2.0,25.3,51.8,31.0,1.0,109.0,5.0
Real Betis,38,11,12,15,34,52,-18,45,1.18,2015-2016,397.0,126.0,31.7,10.45,3.32,0.08,0.25,1.37,186.0,134.0,72.0,12.0,31.6,0.0,0.0,1.0,27.4,46.7,25.0,4.0,114.0,5.0
Las Palmas,38,12,8,18,45,53,-8,44,1.16,2015-2016,420.0,163.0,38.8,11.05,4.29,0.09,0.23,1.4,181.0,131.0,72.4,11.0,28.9,3.0,0.0,1.0,27.6,54.6,31.0,5.0,100.0,4.0
Valencia,38,11,11,16,46,48,-2,44,1.16,2015-2016,405.0,140.0,34.6,10.66,3.68,0.09,0.27,1.26,177.0,133.0,74.0,7.0,18.4,2.0,2.0,0.0,24.7,50.1,27.0,5.0,110.0,7.0
Espanyol,38,12,7,19,40,74,-34,43,1.13,2015-2016,392.0,148.0,37.8,10.32,3.89,0.09,0.25,1.95,171.0,103.0,60.2,7.0,18.4,6.0,0.0,0.0,24.9,46.2,29.0,3.0,132.0,5.0
Eibar,38,11,10,17,49,61,-12,43,1.13,2015-2016,420.0,155.0,36.9,11.05,4.08,0.1,0.26,1.59,154.0,96.0,61.7,7.0,18.4,3.0,1.0,0.0,25.6,45.2,31.0,8.0,108.0,4.0
Deportivo La Coruna,38,8,18,12,45,61,-16,42,1.11,2015-2016,455.0,157.0,34.5,11.97,4.13,0.09,0.25,1.61,149.0,92.0,61.1,7.0,18.4,3.0,1.0,1.0,28.2,47.1,31.0,1.0,86.0,4.0
Granada,38,10,9,19,46,69,-23,39,1.03,2015-2016,431.0,131.0,30.4,11.34,3.45,0.09,0.29,1.82,172.0,107.0,62.2,4.0,10.5,4.0,0.0,1.0,25.9,44.6,26.0,7.0,141.0,7.0
Sporting Gijon,38,10,9,19,40,62,-22,39,1.03,2015-2016,374.0,122.0,32.6,9.84,3.21,0.1,0.31,1.63,193.0,140.0,71.0,7.0,18.4,6.0,3.0,2.0,24.5,43.1,29.0,2.0,107.0,6.0
Rayo Vallecano,38,9,11,18,52,73,-21,38,1.0,2015-2016,504.0,179.0,35.5,13.26,4.71,0.1,0.28,1.92,182.0,118.0,63.7,6.0,15.8,7.0,2.0,0.0,28.5,55.6,38.0,3.0,115.0,10.0
Getafe,38,9,9,20,37,67,-30,36,0.95,2015-2016,441.0,149.0,33.8,11.61,3.92,0.08,0.23,1.76,179.0,122.0,67.0,8.0,21.1,8.0,2.0,1.0,26.7,46.1,31.0,2.0,129.0,6.0
Levante,38,8,8,22,37,70,-33,32,0.84,2015-2016,432.0,142.0,32.9,11.37,3.74,0.08,0.24,1.84,183.0,119.0,64.5,6.0,15.8,5.0,1.0,1.0,27.2,45.9,23.0,2.0,134.0,7.0
Real Madrid,38,29,6,3,106,41,65,93,2.45,2016-2017,662.0,265.0,40.0,17.42,6.97,0.15,0.38,1.08,143.0,105.0,72.7,10.0,26.3,2.0,1.0,1.0,27.0,56.2,83.0,8.0,76.0,2.0
Barcelona,38,28,6,4,116,37,79,90,2.37,2016-2017,649.0,268.0,41.3,17.08,7.05,0.16,0.39,0.97,160.0,123.0,76.9,13.0,34.2,0.0,0.0,0.0,26.9,66.1,71.0,9.0,75.0,1.0
Atletico Madrid,38,23,9,6,70,27,43,78,2.05,2016-2017,503.0,199.0,39.6,13.24,5.24,0.14,0.34,0.71,111.0,87.0,78.4,20.0,52.6,3.0,1.0,0.0,26.9,48.4,54.0,7.0,85.0,3.0
Sevilla,38,21,9,8,69,49,20,72,1.89,2016-2017,487.0,200.0,41.1,12.82,5.26,0.13,0.32,1.26,161.0,118.0,72.7,13.0,34.2,4.0,1.0,0.0,26.8,59.2,48.0,5.0,109.0,4.0
Villarreal,38,19,10,9,56,33,23,67,1.76,2016-2017,430.0,170.0,39.5,11.32,4.47,0.11,0.29,0.87,148.0,121.0,81.1,16.0,42.1,5.0,1.0,0.0,26.7,49.3,36.0,8.0,91.0,4.0
Real Sociedad,38,19,7,12,59,53,6,64,1.68,2016-2017,493.0,167.0,33.9,12.97,4.39,0.1,0.29,1.39,156.0,108.0,68.6,10.0,26.3,4.0,1.0,2.0,26.0,56.7,39.0,8.0,89.0,6.0
Athletic Club,38,19,6,13,53,43,10,63,1.66,2016-2017,488.0,187.0,38.3,12.84,4.92,0.09,0.24,1.13,119.0,79.0,64.7,10.0,26.3,1.0,2.0,0.0,26.8,51.1,31.0,8.0,89.0,2.0
Espanyol,38,15,11,12,49,50,-1,56,1.47,2016-2017,345.0,131.0,38.0,9.08,3.45,0.13,0.35,1.32,175.0,127.0,72.6,11.0,28.9,2.0,0.0,0.0,27.2,44.0,36.0,4.0,82.0,2.0
Alaves,38,14,13,11,41,43,-2,55,1.45,2016-2017,394.0,136.0,34.5,10.37,3.58,0.09,0.27,1.13,156.0,119.0,75.0,12.0,31.6,4.0,2.0,0.0,25.4,44.4,27.0,4.0,120.0,5.0
Eibar,38,15,9,14,56,51,5,54,1.42,2016-2017,451.0,182.0,40.4,11.87,4.79,0.1,0.26,1.34,152.0,107.0,69.7,10.0,26.3,5.0,1.0,0.0,26.9,47.8,34.0,8.0,96.0,7.0
Malaga,38,12,10,16,49,55,-6,46,1.21,2016-2017,492.0,168.0,34.1,12.95,4.42,0.09,0.27,1.45,143.0,95.0,65.7,8.0,21.1,6.0,1.0,0.0,26.0,48.4,33.0,5.0,116.0,7.0
Valencia,38,13,7,18,56,65,-9,46,1.21,2016-2017,454.0,176.0,38.8,11.95,4.63,0.11,0.28,1.71,154.0,100.0,61.7,7.0,18.4,6.0,5.0,2.0,25.9,48.8,38.0,6.0,114.0,6.0
Celta Vigo,38,13,6,19,53,69,-16,45,1.18,2016-2017,404.0,148.0,36.6,10.63,3.89,0.11,0.3,1.82,181.0,121.0,66.9,7.0,18.4,9.0,0.0,1.0,26.1,53.2,33.0,7.0,111.0,8.0
Las Palmas,38,10,9,19,53,74,-21,39,1.03,2016-2017,437.0,182.0,41.6,11.5,4.79,0.11,0.25,1.95,165.0,102.0,61.8,5.0,13.2,11.0,0.0,0.0,27.3,59.0,34.0,6.0,106.0,6.0
Real Betis,38,10,9,19,41,64,-23,39,1.03,2016-2017,440.0,153.0,34.8,11.58,4.03,0.09,0.25,1.68,187.0,128.0,67.9,10.0,26.3,4.0,1.0,0.0,26.1,47.9,27.0,2.0,106.0,5.0
Deportivo La Coruna,38,8,12,18,43,61,-18,36,0.95,2016-2017,462.0,146.0,31.6,12.16,3.84,0.08,0.27,1.61,168.0,110.0,65.5,9.0,23.7,3.0,0.0,0.0,27.7,47.0,29.0,7.0,97.0,4.0
Leganes,38,8,11,19,36,55,-19,35,0.92,2016-2017,411.0,135.0,32.8,10.82,3.55,0.08,0.24,1.45,137.0,89.0,64.2,11.0,28.9,6.0,1.0,0.0,26.3,44.7,24.0,4.0,107.0,3.0
Sporting Gijon,38,7,10,21,42,72,-30,31,0.82,2016-2017,377.0,135.0,35.8,9.92,3.55,0.1,0.28,1.89,195.0,132.0,66.7,7.0,18.4,7.0,2.0,0.0,26.4,44.4,26.0,7.0,116.0,4.0
Osasuna,38,4,10,24,40,94,-54,22,0.58,2016-2017,395.0,147.0,37.2,10.39,3.87,0.08,0.22,2.47,193.0,106.0,53.4,2.0,5.3,4.0,3.0,1.0,26.3,39.0,24.0,6.0,100.0,3.0
Granada,38,4,8,26,30,82,-52,20,0.53,2016-2017,385.0,125.0,32.5,10.13,3.29,0.08,0.24,2.16,242.0,163.0,66.9,3.0,7.9,2.0,1.0,1.0,24.7,45.1,19.0,1.0,116.0,6.0
Barcelona,38,28,9,1,99,29,70,93,2.45,2017-2018,575.0,264.0,45.9,15.13,6.95,0.16,0.35,0.76,133.0,104.0,79.7,19.0,50.0,2.0,0.0,0.0,27.7,62.8,74.0,5.0,67.0,2.0
Atletico Madrid,38,23,10,5,58,22,36,79,2.08,2017-2018,401.0,147.0,36.7,10.55,3.87,0.13,0.36,0.58,129.0,105.0,83.7,23.0,60.5,1.0,3.0,0.0,26.6,47.5,41.0,5.0,96.0,5.0
Real Madrid,38,22,10,6,94,44,50,76,2.0,2017-2018,689.0,267.0,38.8,18.13,7.03,0.12,0.31,1.16,144.0,100.0,70.8,10.0,26.3,2.0,2.0,0.0,27.1,60.2,65.0,10.0,67.0,4.0
Valencia,38,22,7,9,65,38,27,73,1.92,2017-2018,473.0,175.0,37.0,12.45,4.61,0.12,0.31,1.0,164.0,124.0,78.7,12.0,31.6,3.0,2.0,0.0,24.8,48.6,45.0,8.0,107.0,5.0
Villarreal,38,18,7,13,57,50,7,61,1.61,2017-2018,470.0,162.0,34.5,12.37,4.26,0.11,0.32,1.32,157.0,104.0,71.3,11.0,28.9,5.0,3.0,0.0,26.6,50.4,45.0,5.0,117.0,6.0
Real Betis,38,18,6,14,60,61,-1,60,1.58,2017-2018,415.0,160.0,38.6,10.92,4.21,0.13,0.34,1.61,156.0,98.0,62.8,13.0,34.2,3.0,1.0,0.0,27.1,56.9,43.0,3.0,91.0,3.0
Sevilla,38,17,7,14,49,58,-9,58,1.53,2017-2018,511.0,174.0,34.1,13.45,4.58,0.09,0.25,1.53,150.0,92.0,64.7,14.0,36.8,5.0,1.0,2.0,27.1,54.3,35.0,5.0,99.0,3.0
Getafe,38,15,10,13,42,33,9,55,1.45,2017-2018,361.0,122.0,33.8,9.5,3.21,0.1,0.3,0.87,130.0,96.0,76.2,14.0,36.8,2.0,1.0,1.0,28.2,40.2,27.0,12.0,134.0,5.0
Eibar,38,14,9,15,44,50,-6,51,1.34,2017-2018,467.0,131.0,28.1,12.29,3.45,0.09,0.31,1.32,134.0,87.0,65.7,11.0,28.9,4.0,0.0,0.0,27.4,52.0,31.0,3.0,86.0,3.0
Girona,38,14,9,15,50,59,-9,51,1.34,2017-2018,447.0,149.0,33.3,11.76,3.92,0.1,0.3,1.55,175.0,119.0,68.6,11.0,28.9,4.0,0.0,1.0,26.3,46.8,31.0,8.0,102.0,0.0
Espanyol,38,12,13,13,36,42,-6,49,1.29,2017-2018,410.0,128.0,31.2,10.79,3.37,0.08,0.24,1.11,164.0,122.0,76.8,12.0,31.6,4.0,2.0,0.0,26.8,46.9,24.0,3.0,88.0,1.0
Real Sociedad,38,14,7,17,66,59,7,49,1.29,2017-2018,516.0,165.0,32.0,13.58,4.34,0.12,0.36,1.55,149.0,90.0,64.4,10.0,26.3,6.0,2.0,0.0,25.9,56.5,47.0,5.0,64.0,5.0
Celta Vigo,38,13,10,15,59,60,-1,49,1.29,2017-2018,444.0,157.0,35.4,11.68,4.13,0.12,0.35,1.58,161.0,102.0,65.2,7.0,18.4,4.0,0.0,1.0,25.7,55.7,45.0,3.0,85.0,1.0
Alaves,38,15,2,21,40,50,-10,47,1.24,2017-2018,389.0,134.0,34.4,10.24,3.53,0.1,0.29,1.32,172.0,122.0,75.0,12.0,31.6,7.0,2.0,1.0,25.5,40.3,31.0,3.0,109.0,4.0
Levante,38,11,13,14,44,58,-14,46,1.21,2017-2018,405.0,119.0,29.4,10.66,3.13,0.09,0.32,1.53,183.0,127.0,71.0,10.0,26.3,5.0,0.0,1.0,25.7,42.8,28.0,5.0,111.0,6.0
Athletic Club,38,10,13,15,41,49,-8,43,1.13,2017-2018,421.0,142.0,33.7,11.08,3.74,0.08,0.23,1.29,166.0,117.0,72.3,11.0,28.9,3.0,3.0,0.0,26.7,49.6,25.0,8.0,93.0,0.0
Leganes,38,12,7,19,34,51,-17,43,1.13,2017-2018,393.0,125.0,31.8,10.34,3.29,0.08,0.24,1.34,156.0,104.0,71.2,14.0,36.8,6.0,1.0,0.0,27.8,43.0,23.0,3.0,105.0,5.0
Deportivo La Coruna,38,6,11,21,38,76,-38,29,0.76,2017-2018,462.0,133.0,28.8,12.16,3.5,0.08,0.26,2.0,179.0,105.0,59.8,6.0,15.8,4.0,1.0,0.0,28.2,46.8,30.0,5.0,100.0,2.0
Las Palmas,38,5,7,26,24,74,-50,22,0.58,2017-2018,405.0,119.0,29.4,10.66,3.13,0.04,0.15,1.95,215.0,142.0,67.9,5.0,13.2,5.0,0.0,0.0,27.0,54.7,15.0,8.0,89.0,3.0
Malaga,38,5,5,28,24,61,-37,20,0.53,2017-2018,397.0,108.0,27.2,10.45,2.84,0.05,0.18,1.61,170.0,108.0,67.6,6.0,15.8,6.0,1.0,0.0,27.2,44.1,15.0,6.0,101.0,8.0
Barcelona,38,26,9,3,90,36,54,87,2.29,2018-2019,551.0,242.0,43.9,14.5,6.37,0.15,0.33,0.95,130.0,95.0,73.8,17.0,44.7,2.0,0.0,0.0,27.7,64.4,61.0,9.0,77.0,2.0
Atletico Madrid,38,22,10,6,55,29,26,76,2.0,2018-2019,440.0,155.0,35.2,11.58,4.08,0.11,0.32,0.76,136.0,109.0,82.4,20.0,52.6,5.0,0.0,0.0,26.4,49.2,36.0,4.0,103.0,5.0
Real Madrid,38,21,5,12,63,46,17,68,1.79,2018-2019,585.0,203.0,34.7,15.39,5.34,0.09,0.26,1.21,138.0,91.0,71.0,12.0,31.6,6.0,1.0,1.0,27.1,60.1,39.0,9.0,83.0,6.0
Valencia,38,15,16,7,51,35,16,61,1.61,2018-2019,470.0,157.0,33.4,12.37,4.13,0.1,0.29,0.92,152.0,118.0,81.6,13.0,34.2,7.0,1.0,0.0,26.4,47.1,38.0,7.0,90.0,3.0
Getafe,38,15,14,9,48,35,13,59,1.55,2018-2019,395.0,122.0,30.9,10.39,3.21,0.1,0.34,0.92,134.0,99.0,76.9,13.0,34.2,4.0,1.0,1.0,27.5,40.7,34.0,6.0,111.0,7.0
Sevilla,38,17,8,13,62,47,15,59,1.55,2018-2019,524.0,167.0,31.9,13.79,4.39,0.1,0.33,1.24,156.0,108.0,73.7,10.0,26.3,6.0,1.0,0.0,27.9,52.3,47.0,6.0,118.0,6.0
Espanyol,38,14,11,13,48,50,-2,53,1.39,2018-2019,470.0,154.0,32.8,12.37,4.05,0.08,0.25,1.32,167.0,117.0,73.7,10.0,26.3,6.0,2.0,0.0,27.7,49.4,26.0,4.0,92.0,2.0
Athletic Club,38,13,14,11,41,45,-4,53,1.39,2018-2019,380.0,132.0,34.7,10.0,3.47,0.09,0.26,1.18,120.0,75.0,66.7,10.0,26.3,5.0,0.0,0.0,27.6,50.0,26.0,7.0,120.0,4.0
Real Sociedad,38,13,11,14,45,46,-1,50,1.32,2018-2019,418.0,133.0,31.8,11.0,3.5,0.09,0.27,1.21,142.0,97.0,69.0,9.0,23.7,2.0,1.0,0.0,24.9,51.7,27.0,10.0,82.0,4.0
Real Betis,38,14,8,16,44,52,-8,50,1.32,2018-2019,436.0,156.0,35.8,11.47,4.11,0.09,0.24,1.37,155.0,102.0,69.0,11.0,28.9,4.0,1.0,0.0,26.7,61.8,30.0,7.0,89.0,1.0
Alaves,38,13,11,14,39,50,-11,50,1.32,2018-2019,426.0,116.0,27.2,11.21,3.05,0.09,0.32,1.32,167.0,119.0,73.7,8.0,21.1,6.0,0.0,0.0,26.7,42.7,27.0,3.0,101.0,1.0
Eibar,38,11,14,13,46,50,-4,47,1.24,2018-2019,524.0,147.0,28.1,13.79,3.87,0.07,0.27,1.32,132.0,82.0,64.4,9.0,23.7,3.0,1.0,0.0,28.5,54.0,26.0,8.0,82.0,2.0
Leganes,38,11,12,15,37,43,-6,45,1.18,2018-2019,414.0,128.0,30.9,10.89,3.37,0.08,0.26,1.13,134.0,91.0,70.1,11.0,28.9,3.0,1.0,0.0,26.6,43.1,25.0,5.0,106.0,4.0
Villarreal,38,10,14,14,49,52,-3,44,1.16,2018-2019,488.0,169.0,34.6,12.84,4.45,0.09,0.26,1.37,185.0,135.0,73.5,11.0,28.9,3.0,1.0,1.0,27.1,48.3,34.0,6.0,118.0,3.0
Levante,38,11,11,16,59,66,-7,44,1.16,2018-2019,435.0,154.0,35.4,11.45,4.05,0.12,0.33,1.74,226.0,161.0,74.3,7.0,18.4,8.0,1.0,0.0,26.3,45.7,39.0,7.0,112.0,7.0
Valladolid,38,10,11,17,32,51,-19,41,1.08,2018-2019,406.0,125.0,30.8,10.68,3.29,0.07,0.22,1.34,155.0,102.0,71.0,9.0,23.7,6.0,3.0,0.0,27.4,46.8,19.0,7.0,92.0,0.0
Celta Vigo,38,10,11,17,53,62,-9,41,1.08,2018-2019,445.0,152.0,34.2,11.71,4.0,0.1,0.3,1.63,167.0,106.0,66.5,8.0,21.1,6.0,0.0,1.0,25.5,51.6,37.0,7.0,84.0,6.0
Girona,38,9,10,19,37,53,-16,37,0.97,2018-2019,392.0,137.0,34.9,10.32,3.61,0.08,0.23,1.39,206.0,154.0,78.2,9.0,23.7,8.0,0.0,0.0,26.6,48.0,23.0,6.0,83.0,4.0
Huesca,38,7,12,19,43,65,-22,33,0.87,2018-2019,463.0,139.0,30.0,12.18,3.66,0.08,0.27,1.71,174.0,112.0,67.8,6.0,15.8,9.0,0.0,0.0,26.7,44.5,28.0,7.0,114.0,3.0
Rayo Vallecano,38,8,8,22,41,70,-29,32,0.84,2018-2019,453.0,144.0,31.8,11.92,3.79,0.08,0.24,1.84,182.0,109.0,65.4,7.0,18.4,7.0,4.0,0.0,26.6,48.7,24.0,5.0,106.0,8.0
Real Madrid,38,26,9,3,70,25,45,87,2.29,2019-2020,552.0,222.0,40.2,14.53,5.84,0.11,0.26,0.66,110.0,85.0,79.1,19.0,50.0,2.0,0.0,0.0,27.6,58.8,52.0,11.0,82.0,4.0
Barcelona,38,25,7,6,86,38,48,82,2.16,2019-2020,488.0,213.0,43.6,12.84,5.61,0.16,0.37,1.0,119.0,80.0,73.1,15.0,39.5,6.0,1.0,0.0,27.8,66.4,62.0,6.0,92.0,6.0
Atletico Madrid,38,18,16,4,51,27,24,70,1.84,2019-2020,440.0,136.0,30.9,11.58,3.58,0.1,0.32,0.71,112.0,88.0,78.6,17.0,44.7,3.0,0.0,1.0,26.1,48.6,35.0,8.0,93.0,3.0
Sevilla,38,19,13,6,54,34,20,70,1.84,2019-2020,484.0,164.0,33.9,12.74,4.32,0.1,0.28,0.89,117.0,83.0,73.5,17.0,44.7,3.0,1.0,0.0,27.7,57.9,35.0,7.0,97.0,1.0
Villarreal,38,18,6,14,63,49,14,60,1.58,2019-2020,483.0,160.0,33.1,12.71,4.21,0.11,0.33,1.29,164.0,116.0,75.0,12.0,31.6,8.0,1.0,0.0,27.6,52.9,40.0,11.0,78.0,1.0
Real Sociedad,38,16,8,14,56,48,8,56,1.47,2019-2020,424.0,139.0,32.8,11.16,3.66,0.12,0.36,1.26,144.0,96.0,71.5,9.0,23.7,7.0,1.0,1.0,24.8,56.2,38.0,5.0,79.0,2.0
Granada,38,16,8,14,52,45,7,56,1.47,2019-2020,389.0,118.0,30.3,10.24,3.11,0.12,0.38,1.18,156.0,110.0,73.7,13.0,34.2,4.0,1.0,0.0,26.8,43.8,34.0,5.0,109.0,1.0
Getafe,38,14,12,12,43,37,6,54,1.42,2019-2020,408.0,121.0,29.7,10.74,3.18,0.09,0.3,0.97,109.0,73.0,70.6,15.0,39.5,5.0,1.0,0.0,27.5,45.0,31.0,7.0,135.0,5.0
Valencia,38,14,11,13,46,53,-7,53,1.39,2019-2020,331.0,111.0,33.5,8.71,2.92,0.12,0.36,1.39,190.0,136.0,75.8,8.0,21.1,7.0,2.0,0.0,27.0,49.0,34.0,8.0,80.0,8.0
Osasuna,38,13,13,12,46,54,-8,52,1.37,2019-2020,455.0,142.0,31.2,11.97,3.74,0.08,0.27,1.42,143.0,89.0,65.7,11.0,28.9,5.0,0.0,0.0,27.7,47.4,26.0,8.0,110.0,6.0
Athletic Club,38,13,12,13,41,38,3,51,1.34,2019-2020,401.0,126.0,31.4,10.55,3.32,0.08,0.25,1.0,128.0,92.0,74.2,12.0,31.6,5.0,0.0,2.0,26.7,48.7,23.0,10.0,90.0,2.0
Levante,38,14,7,17,47,53,-6,49,1.29,2019-2020,422.0,133.0,31.5,11.11,3.5,0.09,0.3,1.39,215.0,161.0,76.7,6.0,15.8,3.0,2.0,1.0,27.7,48.3,28.0,5.0,79.0,5.0
Valladolid,38,9,15,14,32,43,-11,42,1.11,2019-2020,369.0,116.0,31.4,9.71,3.05,0.08,0.24,1.13,139.0,95.0,74.1,12.0,31.6,7.0,1.0,0.0,27.1,44.7,19.0,6.0,84.0,0.0
Eibar,38,11,9,18,39,56,-17,42,1.11,2019-2020,419.0,132.0,31.5,11.03,3.47,0.07,0.23,1.47,138.0,81.0,62.3,11.0,28.9,4.0,2.0,0.0,29.3,46.3,24.0,10.0,92.0,3.0
Real Betis,38,10,11,17,48,60,-12,41,1.08,2019-2020,471.0,152.0,32.3,12.39,4.0,0.09,0.28,1.58,154.0,95.0,68.2,6.0,15.8,11.0,0.0,0.0,27.5,56.7,35.0,8.0,108.0,9.0
Alaves,38,10,9,19,34,59,-25,39,1.03,2019-2020,307.0,98.0,31.9,8.08,2.58,0.09,0.29,1.55,161.0,99.0,70.8,9.0,23.7,12.0,3.0,0.0,27.6,41.5,20.0,6.0,111.0,7.0
Celta Vigo,38,7,16,15,37,49,-12,37,0.97,2019-2020,359.0,131.0,36.5,9.45,3.45,0.09,0.24,1.29,149.0,100.0,70.5,12.0,31.6,5.0,0.0,0.0,25.8,51.7,26.0,9.0,104.0,6.0
Leganes,38,8,12,18,30,51,-21,36,0.95,2019-2020,427.0,143.0,33.5,11.24,3.76,0.06,0.19,1.34,138.0,87.0,67.4,9.0,23.7,6.0,1.0,0.0,26.9,43.9,19.0,5.0,127.0,4.0
