Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,sezoni,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,GA90,SoTA,Saves,Save%,CS,CS%,PKA,PKsv,PKm,Age,Poss,Ast,PKatt,CrdY,CrdR
Mallorca,38,9,6,23,40,65,-25,33,0.87,2019-2020,410.0,118.0,28.8,10.79,3.11,0.08,0.26,1.71,190.0,125.0,73.7,5.0,13.2,15.0,1.0,0.0,26.8,45.0,21.0,10.0,93.0,5.0
Espanyol,38,5,10,23,27,58,-31,25,0.66,2019-2020,407.0,120.0,29.5,10.71,3.16,0.05,0.18,1.53,163.0,106.0,68.1,6.0,15.8,6.0,1.0,0.0,27.7,47.4,17.0,4.0,107.0,9.0
Atletico Madrid,38,26,8,4,67,25,42,86,2.26,2020-2021,452.0,178.0,39.4,11.89,4.68,0.13,0.34,0.66,122.0,98.0,80.3,18.0,47.4,1.0,2.0,1.0,27.3,52.3,54.0,7.0,100.0,0.0
Real Madrid,38,25,9,4,67,28,39,84,2.21,2020-2021,544.0,167.0,30.7,14.32,4.39,0.11,0.37,0.74,116.0,88.0,81.9,17.0,44.7,7.0,1.0,0.0,27.9,59.3,53.0,3.0,59.0,2.0
Barcelona,38,24,7,7,85,38,47,79,2.08,2020-2021,575.0,231.0,40.2,15.13,6.08,0.13,0.33,1.0,130.0,94.0,74.6,14.0,36.8,5.0,0.0,0.0,26.4,65.5,51.0,8.0,72.0,2.0
Sevilla,38,24,5,9,53,33,20,77,2.03,2020-2021,454.0,135.0,29.7,11.95,3.55,0.1,0.34,0.87,120.0,87.0,75.8,17.0,44.7,4.0,2.0,0.0,28.1,60.9,36.0,7.0,79.0,2.0
Real Sociedad,38,17,11,10,59,38,21,62,1.63,2020-2021,417.0,139.0,33.3,10.97,3.66,0.12,0.35,1.0,105.0,67.0,66.7,14.0,36.8,3.0,1.0,1.0,25.0,54.9,39.0,12.0,81.0,1.0
Real Betis,38,17,10,11,50,50,0,61,1.61,2020-2021,433.0,145.0,33.5,11.39,3.82,0.1,0.29,1.32,136.0,87.0,69.1,13.0,34.2,8.0,2.0,0.0,27.9,53.6,35.0,11.0,93.0,8.0
Villarreal,38,15,13,10,60,44,16,58,1.53,2020-2021,392.0,146.0,37.2,10.32,3.84,0.11,0.31,1.16,126.0,83.0,70.6,10.0,26.3,7.0,1.0,1.0,28.0,55.2,33.0,13.0,67.0,5.0
Celta Vigo,38,14,11,13,55,57,-2,53,1.39,2020-2021,350.0,133.0,38.0,9.21,3.5,0.14,0.36,1.5,138.0,81.0,63.8,9.0,23.7,7.0,1.0,0.0,26.6,53.3,39.0,7.0,109.0,5.0
Granada,38,13,7,18,47,65,-18,46,1.21,2020-2021,354.0,121.0,34.2,9.32,3.18,0.12,0.36,1.71,170.0,101.0,65.3,9.0,23.7,6.0,5.0,1.0,27.4,41.4,30.0,5.0,97.0,6.0
Athletic Club,38,11,13,14,46,42,4,46,1.21,2020-2021,399.0,128.0,32.1,10.5,3.37,0.1,0.3,1.11,111.0,69.0,66.7,9.0,23.7,5.0,1.0,0.0,26.6,49.9,31.0,5.0,82.0,3.0
Osasuna,38,11,11,16,37,48,-11,44,1.16,2020-2021,368.0,114.0,31.0,9.68,3.0,0.08,0.27,1.27,142.0,94.0,69.7,11.0,28.9,5.0,2.0,1.0,27.9,43.2,25.0,6.0,80.0,5.0
Cadiz,38,11,11,16,36,58,-22,44,1.16,2020-2021,299.0,97.0,32.4,7.87,2.55,0.1,0.3,1.53,150.0,91.0,67.3,10.0,26.3,9.0,1.0,0.0,28.8,34.8,16.0,4.0,81.0,3.0
Valencia,38,10,13,15,50,53,-3,43,1.13,2020-2021,383.0,129.0,33.7,10.08,3.39,0.1,0.31,1.39,175.0,121.0,72.6,7.0,18.4,5.0,3.0,0.0,25.2,46.9,35.0,10.0,82.0,5.0
Levante,38,9,14,15,46,57,-11,41,1.08,2020-2021,376.0,125.0,33.2,9.89,3.29,0.11,0.34,1.5,163.0,108.0,66.9,4.0,10.5,3.0,0.0,1.0,28.0,52.2,35.0,6.0,68.0,1.0
Getafe,38,9,11,18,28,43,-15,38,1.0,2020-2021,355.0,97.0,27.3,9.34,2.55,0.07,0.25,1.13,111.0,70.0,67.6,14.0,36.8,7.0,1.0,0.0,26.7,43.3,14.0,5.0,120.0,7.0
Alaves,38,9,11,18,36,57,-21,38,1.0,2020-2021,339.0,95.0,28.0,8.92,2.5,0.09,0.32,1.5,142.0,85.0,62.0,9.0,23.7,3.0,0.0,0.0,28.7,42.8,21.0,8.0,96.0,8.0
Elche,38,8,12,18,34,55,-21,36,0.95,2020-2021,265.0,86.0,32.5,6.97,2.26,0.12,0.36,1.45,163.0,106.0,69.9,7.0,18.4,6.0,3.0,1.0,28.1,47.5,25.0,3.0,99.0,3.0
Huesca,38,7,13,18,34,53,-19,34,0.89,2020-2021,404.0,130.0,32.2,10.63,3.42,0.07,0.22,1.39,149.0,98.0,67.8,9.0,23.7,5.0,0.0,0.0,28.0,48.3,23.0,4.0,69.0,2.0
Valladolid,38,5,16,17,34,57,-23,31,0.82,2020-2021,359.0,110.0,30.6,9.45,2.89,0.08,0.25,1.5,161.0,104.0,68.3,3.0,7.9,6.0,0.0,1.0,28.1,45.2,21.0,8.0,93.0,4.0
Eibar,38,6,12,20,29,52,-23,30,0.79,2020-2021,443.0,127.0,28.7,11.66,3.34,0.06,0.2,1.37,135.0,82.0,63.7,9.0,23.7,3.0,1.0,1.0,28.2,49.3,20.0,9.0,71.0,3.0
Real Madrid,38,26,8,4,80,31,49,86,2.26,2021-2022,645.0,243.0,37.7,16.97,6.39,0.11,0.3,0.82,129.0,97.0,78.3,16.0,42.1,3.0,2.0,0.0,27.7,59.9,59.0,12.0,76.0,0.0
Barcelona,38,21,10,7,68,38,30,73,1.92,2021-2022,511.0,177.0,34.6,13.45,4.66,0.12,0.35,1.0,123.0,84.0,70.7,11.0,28.9,2.0,1.0,0.0,26.2,64.2,52.0,7.0,97.0,5.0
Atletico Madrid,38,21,8,9,65,43,22,71,1.87,2021-2022,458.0,152.0,33.2,12.05,4.0,0.13,0.39,1.13,106.0,65.0,66.0,12.0,31.6,7.0,1.0,0.0,28.1,50.6,45.0,5.0,111.0,7.0
Sevilla,38,18,16,4,53,30,23,70,1.84,2021-2022,430.0,139.0,32.3,11.32,3.66,0.11,0.35,0.79,121.0,90.0,76.9,17.0,44.7,2.0,1.0,1.0,28.6,59.4,40.0,3.0,97.0,4.0
Real Betis,38,19,8,11,62,40,22,65,1.71,2021-2022,509.0,182.0,35.8,13.39,4.79,0.11,0.3,1.05,132.0,94.0,72.0,13.0,34.2,3.0,0.0,0.0,28.9,53.7,45.0,6.0,87.0,6.0
Real Sociedad,38,17,11,10,40,37,3,62,1.63,2021-2022,430.0,143.0,33.3,11.32,3.76,0.07,0.22,0.97,127.0,89.0,74.8,20.0,52.6,5.0,1.0,0.0,25.7,54.3,22.0,10.0,77.0,4.0
Villarreal,38,16,11,11,63,37,26,59,1.55,2021-2022,449.0,164.0,36.5,11.82,4.32,0.13,0.35,0.97,128.0,91.0,74.2,14.0,36.8,4.0,1.0,0.0,28.0,56.8,51.0,6.0,81.0,1.0
Athletic Club,38,14,13,11,43,36,7,55,1.45,2021-2022,460.0,150.0,32.6,12.11,3.95,0.08,0.25,0.95,131.0,96.0,74.8,13.0,34.2,3.0,0.0,0.0,26.9,48.1,34.0,7.0,90.0,4.0
Valencia,38,11,15,12,48,53,-5,48,1.26,2021-2022,394.0,129.0,32.7,10.37,3.39,0.09,0.29,1.39,163.0,112.0,71.8,12.0,31.6,7.0,1.0,0.0,24.8,43.6,30.0,9.0,134.0,8.0
Osasuna,38,12,11,15,37,51,-14,47,1.24,2021-2022,425.0,114.0,26.8,11.18,3.0,0.07,0.27,1.34,151.0,99.0,68.9,12.0,31.6,4.0,3.0,0.0,27.7,46.9,23.0,8.0,84.0,2.0
Celta Vigo,38,12,10,16,43,43,0,46,1.21,2021-2022,405.0,135.0,33.3,10.66,3.55,0.1,0.3,1.13,136.0,91.0,71.3,14.0,36.8,4.0,4.0,0.0,28.4,55.2,29.0,6.0,87.0,3.0
Rayo Vallecano,38,11,9,18,39,50,-11,42,1.11,2021-2022,500.0,133.0,26.6,13.16,3.5,0.07,0.26,1.32,163.0,112.0,73.6,9.0,23.7,7.0,2.0,0.0,27.5,49.9,28.0,4.0,101.0,3.0
Elche,38,11,9,18,40,52,-12,42,1.11,2021-2022,334.0,106.0,31.7,8.79,2.79,0.11,0.36,1.37,174.0,121.0,74.1,8.0,21.1,7.0,1.0,1.0,29.1,48.4,29.0,1.0,104.0,6.0
Espanyol,38,10,12,16,40,53,-13,42,1.11,2021-2022,403.0,128.0,31.8,10.61,3.37,0.08,0.27,1.39,169.0,118.0,71.0,10.0,26.3,4.0,0.0,1.0,27.7,46.9,25.0,5.0,99.0,7.0
Getafe,38,8,15,15,33,41,-8,39,1.03,2021-2022,404.0,111.0,27.5,10.63,2.92,0.07,0.25,1.08,132.0,91.0,70.5,14.0,36.8,2.0,1.0,1.0,26.6,41.5,26.0,5.0,121.0,8.0
Mallorca,38,10,9,19,36,63,-27,39,1.03,2021-2022,440.0,131.0,29.8,11.58,3.45,0.06,0.21,1.66,152.0,91.0,62.5,9.0,23.7,6.0,2.0,0.0,27.9,45.3,23.0,7.0,114.0,7.0
Cadiz,38,8,15,15,35,51,-16,39,1.03,2021-2022,405.0,118.0,29.1,10.66,3.11,0.08,0.27,1.34,170.0,117.0,76.5,13.0,34.2,11.0,2.0,0.0,28.5,41.3,21.0,6.0,105.0,3.0
Granada,38,8,14,16,44,61,-17,38,1.0,2021-2022,421.0,131.0,31.1,11.08,3.45,0.1,0.31,1.61,193.0,132.0,72.0,8.0,21.1,7.0,2.0,0.0,28.1,44.7,28.0,5.0,105.0,4.0
Levante,38,8,11,19,51,76,-25,35,0.92,2021-2022,430.0,146.0,34.0,11.32,3.84,0.1,0.29,2.0,203.0,126.0,65.0,7.0,18.4,5.0,1.0,0.0,28.0,47.2,34.0,13.0,109.0,6.0
Alaves,38,8,7,23,31,65,-34,31,0.82,2021-2022,373.0,111.0,29.8,9.82,2.92,0.06,0.21,1.71,168.0,100.0,64.9,6.0,15.8,6.0,3.0,0.0,27.9,42.0,20.0,7.0,93.0,4.0
Barcelona,38,28,4,6,70,20,50,88,2.32,2022-2023,570.0,187.0,32.8,15.0,4.92,0.12,0.37,0.53,102.0,85.0,83.3,26.0,68.4,3.0,0.0,0.0,25.9,64.3,56.0,2.0,84.0,6.0
Real Madrid,38,24,6,8,75,36,39,78,2.05,2022-2023,634.0,206.0,32.5,16.68,5.42,0.1,0.31,0.95,136.0,100.0,76.5,13.0,34.2,4.0,1.0,0.0,27.4,60.9,56.0,12.0,72.0,3.0
Atletico Madrid,38,23,8,7,70,33,37,77,2.03,2022-2023,538.0,195.0,36.2,14.16,5.13,0.12,0.34,0.87,128.0,95.0,77.3,13.0,34.2,4.0,0.0,1.0,28.5,50.6,51.0,1.0,92.0,8.0
Real Sociedad,38,21,8,9,51,35,16,71,1.87,2022-2023,465.0,173.0,37.2,12.24,4.55,0.1,0.26,0.92,133.0,99.0,74.4,15.0,39.5,1.0,1.0,0.0,25.9,54.6,36.0,4.0,90.0,2.0
Villarreal,38,19,7,12,59,40,19,64,1.68,2022-2023,499.0,188.0,37.7,13.13,4.95,0.11,0.28,1.05,149.0,110.0,75.8,12.0,31.6,4.0,0.0,0.0,28.4,56.9,33.0,7.0,91.0,4.0
Real Betis,38,17,9,12,46,41,5,60,1.58,2022-2023,411.0,138.0,33.6,10.82,3.63,0.09,0.25,1.08,146.0,106.0,74.0,13.0,34.2,3.0,0.0,0.0,28.6,50.6,26.0,9.0,83.0,15.0
Osasuna,38,15,8,15,37,42,-5,53,1.39,2022-2023,441.0,133.0,30.2,11.61,3.5,0.07,0.24,1.11,148.0,107.0,72.3,11.0,28.9,1.0,1.0,2.0,27.5,48.0,30.0,5.0,93.0,7.0
Athletic Club,38,14,9,15,47,43,4,51,1.34,2022-2023,541.0,157.0,29.0,14.24,4.13,0.08,0.26,1.13,123.0,83.0,67.5,11.0,28.9,3.0,0.0,0.0,27.4,51.6,33.0,7.0,81.0,5.0
Mallorca,38,14,8,16,37,43,-6,50,1.32,2022-2023,324.0,107.0,33.0,8.53,2.82,0.1,0.3,1.13,145.0,101.0,74.5,13.0,34.2,6.0,1.0,0.0,27.7,41.1,27.0,5.0,120.0,5.0
Girona,38,13,10,15,58,55,3,49,1.29,2022-2023,446.0,160.0,35.9,11.74,4.21,0.11,0.29,1.45,168.0,112.0,70.8,4.0,10.5,6.0,1.0,1.0,26.0,51.3,41.0,9.0,92.0,3.0
Rayo Vallecano,38,13,10,15,45,53,-8,49,1.29,2022-2023,510.0,146.0,28.6,13.42,3.84,0.07,0.25,1.39,144.0,95.0,66.0,9.0,23.7,4.0,0.0,1.0,27.9,51.2,29.0,8.0,90.0,6.0
Sevilla,38,13,10,15,47,54,-7,49,1.29,2022-2023,463.0,141.0,30.5,12.18,3.71,0.09,0.3,1.42,161.0,109.0,67.7,9.0,23.7,2.0,1.0,0.0,28.7,52.6,31.0,5.0,121.0,13.0
Celta Vigo,38,11,10,17,43,53,-10,43,1.13,2022-2023,470.0,160.0,34.0,12.37,4.21,0.08,0.24,1.39,134.0,80.0,64.2,10.0,26.3,5.0,2.0,1.0,26.7,50.2,31.0,3.0,85.0,6.0
Cadiz,38,10,12,16,30,53,-23,42,1.11,2022-2023,390.0,108.0,27.7,10.26,2.84,0.06,0.23,1.39,202.0,148.0,78.2,13.0,34.2,9.0,1.0,0.0,29.1,41.9,20.0,5.0,116.0,7.0
Getafe,38,10,12,16,34,45,-11,42,1.11,2022-2023,365.0,116.0,31.8,9.61,3.05,0.08,0.25,1.18,166.0,119.0,75.3,13.0,34.2,4.0,4.0,0.0,27.4,39.9,21.0,8.0,126.0,9.0
Valencia,38,11,9,18,42,45,-3,42,1.11,2022-2023,480.0,140.0,29.2,12.63,3.68,0.07,0.25,1.18,148.0,105.0,70.9,7.0,18.4,2.0,0.0,3.0,24.2,52.0,23.0,8.0,93.0,8.0
Almeria,38,11,8,19,49,65,-16,41,1.08,2022-2023,439.0,155.0,35.3,11.55,4.08,0.11,0.3,1.71,203.0,138.0,70.0,4.0,10.5,4.0,1.0,1.0,26.4,45.1,33.0,3.0,98.0,4.0
Valladolid,38,11,7,20,33,63,-30,40,1.05,2022-2023,443.0,137.0,30.9,11.66,3.61,0.07,0.21,1.66,199.0,134.0,71.4,9.0,23.7,6.0,3.0,1.0,27.4,48.7,24.0,4.0,94.0,6.0
Espanyol,38,8,13,17,52,69,-17,37,0.97,2022-2023,417.0,151.0,36.2,10.97,3.97,0.11,0.3,1.82,183.0,115.0,65.0,6.0,15.8,5.0,1.0,0.0,27.6,43.1,31.0,5.0,99.0,10.0
Elche,38,5,10,23,30,67,-37,25,0.66,2022-2023,400.0,124.0,31.0,10.53,3.26,0.07,0.21,1.76,208.0,140.0,71.2,4.0,10.5,7.0,3.0,0.0,28.3,45.5,21.0,5.0,99.0,12.0
Real Madrid,38,29,8,1,87,26,61,95,2.5,2023-2024,593.0,242.0,40.8,15.61,6.37,0.14,0.34,0.68,118.0,93.0,78.8,21.0,55.3,1.0,0.0,0.0,27.4,59.2,66.0,5.0,69.0,4.0
Barcelona,38,26,7,5,79,44,35,85,2.24,2023-2024,588.0,219.0,37.2,15.47,5.76,0.12,0.32,1.16,141.0,97.0,70.2,17.0,44.7,2.0,0.0,0.0,26.0,64.3,55.0,7.0,87.0,2.0
Girona,38,25,6,7,85,46,39,81,2.13,2023-2024,476.0,178.0,37.4,12.53,4.68,0.16,0.43,1.21,168.0,121.0,75.6,12.0,31.6,5.0,1.0,1.0,26.1,56.9,64.0,8.0,75.0,1.0
Atletico Madrid,38,24,4,10,70,43,27,76,2.0,2023-2024,475.0,197.0,41.5,12.5,5.18,0.13,0.32,1.13,144.0,101.0,70.8,13.0,34.2,1.0,0.0,1.0,29.2,50.8,48.0,6.0,89.0,5.0
Athletic Club,38,19,11,8,61,37,24,68,1.79,2023-2024,458.0,163.0,35.6,12.05,4.29,0.12,0.34,0.97,134.0,98.0,73.1,18.0,47.4,1.0,3.0,1.0,27.3,49.8,41.0,5.0,80.0,5.0
Real Sociedad,38,16,12,10,51,39,12,60,1.58,2023-2024,457.0,147.0,32.2,12.03,3.87,0.1,0.3,1.03,135.0,96.0,75.6,15.0,39.5,6.0,1.0,0.0,25.8,55.3,36.0,4.0,98.0,2.0
Real Betis,38,14,15,9,48,45,3,57,1.5,2023-2024,489.0,150.0,30.7,12.87,3.95,0.09,0.29,1.18,158.0,115.0,75.9,13.0,34.2,7.0,1.0,0.0,27.8,50.4,31.0,3.0,87.0,3.0
Villarreal,38,14,11,13,65,65,0,53,1.39,2023-2024,462.0,163.0,35.3,12.16,4.29,0.13,0.36,1.71,214.0,150.0,72.4,6.0,15.8,6.0,0.0,0.0,27.9,49.6,47.0,7.0,110.0,8.0
Valencia,38,13,10,15,40,45,-5,49,1.29,2023-2024,368.0,123.0,33.4,9.68,3.24,0.08,0.25,1.18,160.0,114.0,73.8,13.0,34.2,3.0,3.0,0.0,23.8,44.3,24.0,9.0,64.0,5.0
Alaves,38,12,10,16,36,46,-10,46,1.21,2023-2024,458.0,136.0,29.7,12.05,3.58,0.07,0.22,1.21,147.0,103.0,74.1,11.0,28.9,8.0,0.0,0.0,25.6,41.8,28.0,7.0,84.0,1.0
Osasuna,38,12,9,17,45,56,-11,45,1.18,2023-2024,421.0,124.0,29.5,11.08,3.26,0.1,0.33,1.47,152.0,95.0,63.8,10.0,26.3,1.0,1.0,0.0,27.7,47.5,32.0,5.0,78.0,5.0
Getafe,38,10,13,15,42,54,-12,43,1.13,2023-2024,446.0,150.0,33.6,11.74,3.95,0.08,0.24,1.42,173.0,118.0,71.7,10.0,26.3,5.0,1.0,1.0,27.3,44.8,27.0,7.0,135.0,10.0
Celta Vigo,38,10,11,17,46,57,-11,41,1.08,2023-2024,467.0,151.0,32.3,12.29,3.97,0.09,0.28,1.5,164.0,109.0,68.9,6.0,15.8,6.0,1.0,1.0,26.7,46.1,35.0,5.0,66.0,5.0
Sevilla,38,10,11,17,48,54,-6,41,1.08,2023-2024,487.0,160.0,32.9,12.82,4.21,0.09,0.28,1.42,175.0,123.0,72.0,8.0,21.1,5.0,0.0,0.0,28.6,50.3,30.0,2.0,108.0,4.0
Mallorca,38,8,16,14,33,44,-11,40,1.05,2023-2024,415.0,131.0,31.6,10.92,3.45,0.08,0.24,1.16,148.0,104.0,73.0,10.0,26.3,4.0,1.0,0.0,28.7,45.0,27.0,3.0,105.0,4.0
Las Palmas,38,10,10,18,33,47,-14,40,1.05,2023-2024,386.0,120.0,31.1,10.16,3.16,0.08,0.25,1.24,156.0,109.0,73.1,8.0,21.1,5.0,3.0,1.0,25.6,59.2,23.0,5.0,84.0,5.0
Rayo Vallecano,38,8,14,16,29,48,-19,38,1.0,2023-2024,487.0,160.0,32.9,12.82,4.21,0.05,0.14,1.26,151.0,104.0,68.9,13.0,34.2,1.0,1.0,0.0,29.4,49.4,12.0,6.0,108.0,5.0
Cadiz,38,6,15,17,26,55,-29,33,0.87,2023-2024,395.0,120.0,30.4,10.39,3.16,0.06,0.18,1.45,175.0,121.0,69.7,10.0,26.3,2.0,0.0,0.0,28.5,43.3,17.0,3.0,107.0,7.0
Almeria,38,3,12,23,43,75,-32,21,0.55,2023-2024,478.0,163.0,34.1,12.58,4.29,0.08,0.25,1.97,202.0,126.0,65.8,6.0,15.8,6.0,1.0,2.0,25.6,46.4,25.0,2.0,93.0,6.0
Granada,38,4,9,25,38,79,-41,21,0.55,2023-2024,394.0,123.0,31.2,10.37,3.24,0.08,0.24,2.08,203.0,126.0,63.5,3.0,7.9,5.0,0.0,1.0,26.7,45.6,27.0,8.0,98.0,4.0
Barcelona,38,28,4,6,102,39,63,88,2.32,2024-2025,670.0,240.0,35.8,17.63,6.32,0.14,0.38,1.03,108.0,69.0,67.6,13.0,34.2,4.0,0.0,0.0,24.7,68.3,72.0,8.0,63.0,3.0
Real Madrid,38,26,6,6,78,38,40,84,2.21,2024-2025,621.0,229.0,36.9,16.34,6.03,0.11,0.3,1.0,126.0,89.0,72.2,15.0,39.5,3.0,0.0,0.0,26.6,60.4,55.0,14.0,57.0,4.0
Atletico Madrid,38,22,10,6,68,30,38,76,2.0,2024-2025,463.0,174.0,37.6,12.18,4.58,0.13,0.36,0.79,116.0,88.0,78.4,17.0,44.7,5.0,0.0,0.0,28.4,52.6,51.0,7.0,75.0,3.0
Athletic Club,38,19,13,6,54,29,25,70,1.84,2024-2025,462.0,148.0,32.0,12.16,3.89,0.11,0.34,0.76,113.0,83.0,77.0,15.0,39.5,3.0,2.0,0.0,26.9,48.4,40.0,6.0,64.0,3.0
Villarreal,38,20,10,8,71,51,20,70,1.84,2024-2025,530.0,171.0,32.3,13.95,4.5,0.12,0.37,1.34,160.0,110.0,72.5,7.0,18.4,7.0,0.0,1.0,26.7,47.6,51.0,7.0,96.0,4.0
Real Betis,38,16,12,10,57,50,7,60,1.58,2024-2025,518.0,176.0,34.0,13.63,4.63,0.09,0.27,1.32,141.0,92.0,67.4,7.0,18.4,4.0,0.0,0.0,27.5,52.4,37.0,10.0,75.0,4.0
Celta Vigo,38,16,7,15,59,57,2,55,1.45,2024-2025,442.0,167.0,37.8,11.63,4.39,0.11,0.3,1.5,145.0,89.0,62.8,8.0,21.1,3.0,1.0,0.0,26.8,53.6,40.0,9.0,84.0,6.0
Rayo Vallecano,38,13,13,12,41,45,-4,52,1.37,2024-2025,514.0,162.0,31.5,13.53,4.26,0.07,0.23,1.18,153.0,107.0,74.5,10.0,26.3,6.0,2.0,0.0,29.3,51.7,27.0,1.0,96.0,3.0
Osasuna,38,12,16,10,48,52,-4,52,1.37,2024-2025,409.0,123.0,30.1,10.76,3.24,0.09,0.3,1.37,187.0,136.0,75.9,9.0,23.7,7.0,0.0,0.0,27.4,46.1,28.0,9.0,88.0,0.0
Mallorca,38,13,9,16,35,44,-9,48,1.26,2024-2025,382.0,107.0,28.0,10.05,2.82,0.08,0.28,1.16,165.0,122.0,75.2,9.0,23.7,3.0,0.0,0.0,28.7,46.8,24.0,5.0,81.0,6.0
Real Sociedad,38,13,7,18,35,46,-11,46,1.21,2024-2025,387.0,123.0,31.8,10.18,3.24,0.08,0.24,1.21,142.0,94.0,71.1,13.0,34.2,5.0,2.0,0.0,25.1,53.8,22.0,4.0,85.0,4.0
Valencia,38,11,13,14,44,54,-10,46,1.21,2024-2025,383.0,116.0,30.3,10.08,3.05,0.1,0.33,1.42,148.0,95.0,67.6,8.0,21.1,6.0,2.0,1.0,24.6,48.4,26.0,5.0,86.0,1.0
Getafe,38,11,9,18,34,39,-5,42,1.11,2024-2025,430.0,122.0,28.4,11.32,3.21,0.07,0.24,1.03,126.0,86.0,75.4,9.0,23.7,8.0,1.0,0.0,27.7,41.8,21.0,5.0,110.0,7.0
Espanyol,38,11,9,18,40,51,-11,42,1.11,2024-2025,351.0,98.0,27.9,9.24,2.58,0.09,0.34,1.34,193.0,141.0,75.6,8.0,21.1,4.0,2.0,0.0,25.2,39.8,27.0,5.0,88.0,1.0
Alaves,38,10,12,16,38,48,-10,42,1.11,2024-2025,393.0,123.0,31.3,10.34,3.24,0.07,0.24,1.26,132.0,86.0,72.0,9.0,23.7,11.0,0.0,0.0,26.6,45.3,20.0,11.0,107.0,5.0
Girona,38,11,8,19,44,60,-16,41,1.08,2024-2025,397.0,134.0,33.8,10.45,3.53,0.1,0.29,1.58,164.0,102.0,65.2,8.0,21.1,3.0,3.0,0.0,27.5,56.3,31.0,5.0,76.0,2.0
Sevilla,38,10,11,17,42,55,-13,41,1.08,2024-2025,472.0,148.0,31.4,12.42,3.89,0.08,0.25,1.45,148.0,93.0,66.2,10.0,26.3,5.0,1.0,0.0,26.1,50.5,32.0,3.0,98.0,8.0
Leganes,38,9,13,16,39,56,-17,40,1.05,2024-2025,345.0,110.0,31.9,9.08,2.89,0.1,0.3,1.47,175.0,122.0,72.0,11.0,28.9,7.0,0.0,1.0,27.8,42.6,27.0,7.0,82.0,6.0
Las Palmas,38,8,8,22,40,61,-21,32,0.84,2024-2025,409.0,134.0,32.8,10.76,3.53,0.09,0.26,1.61,182.0,120.0,69.2,4.0,10.5,5.0,4.0,1.0,26.7,50.7,27.0,4.0,110.0,4.0
Valladolid,38,4,4,30,26,90,-64,16,0.42,2024-2025,331.0,97.0,29.3,8.71,2.55,0.06,0.22,2.37,204.0,115.0,59.3,5.0,13.2,7.0,0.0,0.0,25.6,42.8,15.0,5.0,91.0,5.0
